transaction_date,daily_sales
2024-12-29,49158.15
2025-11-24,35595.35
2025-02-16,35793.52
2025-03-31,71795.62
2025-10-22,35973.20
2025-08-05,42876.41
2025-05-22,46772.36
2025-04-20,57880.62
2025-12-01,41763.69
2025-10-31,45445.05
2025-07-22,29712.85
2025-12-22,33065.29
2025-06-15,46128.22
2025-10-06,49287.92
2025-05-02,54121.02
2025-11-21,47500.46
2025-08-06,43454.92
2025-08-23,41207.53
2025-09-16,42412.82
2025-04-27,23308.10
2025-12-23,26962.04
2025-03-05,77664.93
2024-12-26,49044.83
2025-09-22,49406.61
2025-03-14,51484.86
2025-04-14,60086.61
2025-06-10,36543.39
2025-01-17,49690.32
2025-01-18,38448.71
2025-11-06,30236.39
2025-12-11,44063.55
2025-12-16,42310.73
2025-06-07,53816.80
2025-02-26,68862.35
2025-06-16,25083.69
2025-01-23,47439.26
2025-05-20,40916.86
2025-10-28,33350.94
2025-04-24,37080.46
2025-12-24,45692.89
2025-05-06,34320.18
2025-10-02,28251.56
2025-05-27,44834.98
2025-03-24,26019.85
2025-01-14,40177.60
2025-08-09,42740.18
2025-11-11,45270.93
2025-05-05,35494.39
2025-03-04,47742.50
2025-08-12,30052.21
2025-01-08,39883.69
2025-05-26,29223.55
2025-11-12,32946.02
2025-01-02,44161.62
2025-09-02,36366.40
2025-11-09,40937.57
2025-12-07,44151.10
2025-11-08,44989.63
2025-10-26,27834.41
2025-11-05,40157.06
2025-11-30,33377.40
2025-05-18,40772.89
2025-05-10,42244.22
2025-08-27,37960.27
2025-06-21,31682.72
2025-02-28,42996.60
2025-09-17,31883.63
2025-07-07,29837.64
2025-09-29,28251.61
2025-10-25,23142.31
2025-08-16,44895.44
2025-03-01,39970.17
2025-01-26,48921.74
2025-10-24,33205.79
2025-02-24,44225.01
2025-06-28,53993.71
2025-07-29,41196.68
2025-05-01,37368.59
2025-07-20,42360.15
2025-07-09,55580.35
2025-12-03,33246.99
2025-10-18,64544.56
2025-04-17,45411.27
2025-02-15,61017.78
2025-06-24,52754.43
2025-07-12,38905.14
2025-02-11,39669.22
2025-01-20,36321.61
2025-02-17,55619.50
2025-12-06,33883.86
2025-12-25,53348.17
2025-09-10,46267.99
2025-06-27,39107.02
2025-11-02,46868.02
2025-07-28,40083.62
2025-07-23,39128.69
2025-10-10,41585.88
2025-05-03,34689.62
2025-05-30,44952.39
2025-09-09,28909.68
2025-07-25,49225.78
2025-01-15,43911.78
2025-02-04,42598.28
2025-08-26,48718.45
2025-07-26,48737.03
2025-07-17,31749.77
2025-08-24,56433.50
2025-08-19,36231.98
2025-01-30,37866.77
2025-10-03,34109.41
2025-01-10,20925.89
2025-12-26,45276.26
2025-12-18,23454.76
2025-03-07,34413.07
2025-10-13,44722.00
2025-12-21,55968.21
2025-07-01,31045.83
2025-04-25,42707.77
2025-06-03,52121.74
2025-08-22,51804.59
2025-08-28,34076.21
2025-05-29,41723.82
2025-07-06,30946.31
2025-02-14,39269.99
2025-02-09,18166.35
2025-05-09,56580.56
2025-02-25,44647.81
2025-08-18,30467.84
2025-03-12,42844.90
2025-03-17,38856.60
2025-03-28,26029.15
2025-04-15,37239.32
2025-01-11,34848.84
2025-10-17,31565.26
2025-03-16,43552.31
2025-12-09,27639.29
2025-01-24,28702.17
2025-01-07,38816.52
2025-03-06,42047.17
2025-02-23,33879.57
2025-03-15,34921.06
2025-01-19,52588.83
2025-02-05,41591.28
2025-06-08,50238.26
2025-10-05,28376.77
2025-01-22,40522.78
2025-10-19,54817.10
2025-06-02,43828.61
2025-06-23,33079.07
2025-03-21,44253.90
2025-09-03,58125.48
2025-01-03,44599.31
2025-12-08,45679.33
2025-06-30,24782.83
2025-07-15,46814.76
2025-05-21,44785.12
2025-01-12,39057.30
2025-01-21,53431.96
2025-11-19,40131.25
2025-04-07,43462.97
2025-12-17,63980.07
2025-09-06,41446.47
2025-10-14,38055.43
2025-10-11,35927.14
2025-06-18,33477.61
2025-05-08,44038.99
2025-05-07,47397.82
2025-04-03,33459.72
2025-09-01,63787.29
2025-10-12,29475.83
2025-10-16,40897.20
2025-08-04,33161.96
2025-05-25,29625.22
2025-04-30,26800.69
2025-04-12,30025.40
2025-01-13,46994.51
2025-11-04,35894.03
2025-11-15,43300.55
2025-07-13,52352.75
2025-05-19,52493.09
2025-11-10,34102.02
2025-10-21,39023.11
2025-01-04,36882.42
2025-03-11,40202.52
2025-03-02,50294.50
2025-08-14,45502.33
2025-11-20,28198.01
2025-03-13,35165.20
2025-02-27,36485.21
2025-06-17,36643.59
2025-11-16,49048.61
2025-05-15,46725.28
2025-03-19,53048.96
2025-09-18,32061.70
2025-08-29,46274.52
2025-10-15,42774.14
2025-06-29,44440.39
2025-09-30,55694.54
2025-07-21,37864.28
2025-08-20,36258.62
2025-02-20,48262.18
2025-12-13,37805.63
2025-01-09,43238.13
2025-02-10,29126.94
2025-12-19,43313.76
2025-08-01,28079.38
2025-06-09,40005.64
2025-08-17,39003.60
2025-05-11,46843.32
2025-02-13,27594.90
2025-09-19,47051.48
2025-01-25,35097.38
2025-09-04,40441.13
2025-05-16,50568.26
2025-02-03,52345.25
2025-03-22,49759.66
2025-04-29,27084.12
2024-12-27,40353.60
2025-12-15,57999.67
2025-04-04,34754.03
2025-03-27,36454.32
2025-09-26,52456.64
2025-07-04,35360.33
2025-05-17,47986.84
2025-04-26,29937.91
2025-07-03,33570.87
2025-06-26,42355.66
2025-07-08,35242.73
2025-04-16,26270.06
2025-04-22,34704.39
2025-09-28,41123.69
2025-08-30,41263.26
2025-07-10,58108.26
2025-09-25,33383.94
2025-05-04,41907.41
2025-06-11,33365.04
2025-02-12,47891.14
2024-12-31,45164.32
2025-02-07,26259.79
2025-06-04,40060.65
2025-11-25,42443.30
2025-11-03,34371.34
2025-11-13,55664.90
2025-11-07,25318.83
2025-07-27,40031.42
2025-01-28,36681.86
2025-08-21,57683.74
2025-04-09,34789.05
2025-06-05,39032.09
2025-11-26,54051.06
2025-02-02,47632.85
2025-08-15,43055.20
2025-02-08,48812.28
2025-04-13,33381.79
2025-03-20,25279.62
2025-05-28,42931.78
2025-02-22,39604.41
2025-01-16,38104.26
2025-02-21,47544.41
2025-11-18,48306.45
2025-04-02,43672.57
2025-02-01,61965.51
2024-12-30,44234.81
2025-02-06,39271.70
2025-05-13,27714.60
2025-09-20,52104.34
2025-07-24,35182.03
2025-06-12,56347.25
2025-04-05,39235.38
2025-08-02,48674.74
2025-12-20,37648.92
2025-07-05,45595.00
2025-10-09,50035.39
2025-01-31,43212.09
2025-11-23,38164.60
2025-04-10,38518.05
2025-08-03,53306.57
2025-09-15,32157.55
2025-11-28,41811.91
2025-04-19,48812.18
2025-08-13,33444.37
2025-09-13,28781.55
2025-01-01,25416.49
2025-10-08,48502.12
2025-04-23,31761.60
2025-04-11,26887.99
2025-10-04,58622.93
2025-07-18,30629.86
2025-03-10,51716.86
2025-12-05,42356.52
2025-12-02,30509.76
2025-12-14,29417.70
2025-10-23,36884.17
2025-05-24,38791.07
2025-04-08,52022.96
2025-09-05,58412.73
2025-11-29,43759.42
2025-08-11,48348.15
2025-06-25,36910.69
2025-04-28,49459.50
2025-03-29,50805.39
2025-11-22,49416.89
2025-07-16,37287.15
2025-09-08,41390.51
2025-04-01,40975.63
2025-08-08,39535.69
2025-07-14,35336.52
2025-03-26,49340.42
2025-10-29,31451.20
2025-07-19,26375.73
2025-05-14,34432.40
2025-05-23,39106.93
2025-08-10,45802.01
2025-10-01,30269.29
2025-06-13,36257.15
2025-05-31,35398.60
2025-03-25,52350.10
2025-06-06,43676.33
2025-07-30,44336.61
2025-07-02,55583.30
2025-09-14,35288.47
2025-08-25,46129.83
2025-10-27,34184.56
2025-01-05,38906.95
2025-10-20,41686.55
2025-05-12,47215.54
2024-12-28,56000.98
2025-06-19,38733.62
2025-11-27,54569.81
2025-09-24,40445.34
2025-06-01,56912.73
2025-03-18,33025.53
2025-09-27,46313.96
2025-03-23,36746.35
2025-08-31,50429.95
2025-10-07,37968.02
2025-07-11,46014.09
2025-09-07,31387.03
2025-10-30,48209.74
2025-04-06,29853.04
2025-11-17,35388.56
2025-12-10,32036.77
2025-09-23,26522.72
2025-08-07,37556.88
2025-12-04,35602.96
2025-06-14,30349.88
2025-03-08,47890.40
2025-01-27,36414.68
2025-01-06,39210.31
2025-03-30,63250.50
2025-09-11,36702.72
2025-11-01,31941.01
2025-11-14,67763.14
2025-12-12,43214.51
2025-03-09,48365.54
2025-04-18,58238.51
2025-01-29,35332.14
2025-06-20,36313.01
2025-04-21,34855.98
2025-03-03,35649.52
2025-02-19,50285.52
2025-09-12,31943.44
2025-07-31,35532.87
2025-02-18,32879.18
2025-06-22,54471.01
2025-09-21,39088.06
