customer_id,purchase_count
652,15
273,6
51,20
951,7
839,26
70,22
350,16
758,10
539,26
874,15
278,22
946,11
176,12
576,27
292,34
663,26
929,16
770,19
22,10
271,13
417,9
764,14
556,6
529,28
638,20
791,18
775,22
940,15
173,8
390,13
42,30
189,17
161,19
876,21
113,18
632,15
658,36
120,19
802,27
578,39
695,14
815,18
440,20
794,28
57,28
19,25
160,28
644,22
824,14
508,23
357,16
769,12
266,18
315,22
366,10
307,15
841,27
91,22
803,15
305,22
54,26
181,17
743,16
10,18
35,31
963,21
220,20
823,25
822,25
400,24
241,16
175,26
596,28
285,18
50,21
13,28
391,11
487,19
2,18
699,22
246,13
75,21
128,20
714,17
344,19
906,23
909,15
745,19
152,14
534,32
428,29
637,30
355,24
747,24
222,9
164,13
777,29
922,16
453,17
787,25
186,18
501,26
750,11
545,10
182,32
18,16
977,25
528,12
27,23
143,24
563,30
811,17
496,19
58,36
228,25
667,13
814,19
668,21
294,10
850,12
481,23
645,15
926,16
607,17
438,19
382,30
258,20
853,21
378,16
483,20
84,5
799,26
276,21
646,23
379,16
320,20
115,23
942,13
97,19
108,20
59,10
589,20
127,21
555,28
329,12
682,33
567,20
44,23
816,22
153,33
676,17
507,13
778,24
944,15
214,21
847,5
419,28
664,34
551,17
532,15
945,22
95,21
948,14
259,14
519,22
965,21
172,18
409,25
30,18
840,13
521,18
3,24
936,28
324,12
981,22
921,30
249,21
255,26
639,17
296,30
984,26
209,18
74,12
937,23
138,31
868,27
34,22
418,24
947,36
978,6
972,13
761,34
407,18
90,19
904,22
443,11
387,20
39,20
690,22
526,20
393,15
524,17
312,26
498,16
862,20
494,11
469,17
683,24
118,14
608,29
317,13
793,18
702,14
488,17
126,17
194,19
360,24
463,15
99,17
476,13
629,28
883,29
726,28
374,25
224,36
719,20
318,19
756,23
933,10
354,5
442,28
647,24
12,29
593,35
479,23
293,19
495,22
154,13
234,19
657,22
474,24
899,32
935,36
675,7
748,25
696,11
969,20
264,31
270,30
435,23
898,12
384,6
351,11
116,11
970,8
732,24
837,13
826,15
431,23
911,17
462,18
491,24
734,12
855,34
436,15
180,19
967,15
870,25
626,21
263,34
836,17
784,21
711,18
470,10
780,23
768,13
838,30
478,20
149,22
577,14
505,12
280,26
88,24
188,23
461,30
240,23
328,17
717,20
525,23
634,18
650,18
703,22
210,16
226,20
48,31
710,20
843,27
447,7
298,15
81,25
954,26
800,27
204,20
5,36
456,18
796,22
531,15
283,27
807,16
624,11
546,24
686,29
297,17
681,26
361,19
303,22
974,13
829,24
785,11
643,11
472,15
444,16
233,19
537,25
89,15
93,19
373,19
252,24
343,42
31,18
723,11
497,20
155,15
884,30
722,16
609,13
953,26
416,24
195,18
199,21
369,21
441,28
243,19
902,16
740,15
892,14
856,12
230,30
503,20
78,14
573,16
994,17
987,19
250,19
852,19
611,9
621,33
865,20
106,21
962,32
178,14
795,19
809,24
585,22
8,28
934,21
908,31
708,12
455,21
370,15
684,14
713,27
448,23
396,23
930,20
701,15
132,15
514,29
322,12
854,20
389,36
916,14
863,28
114,29
60,18
754,11
289,15
518,29
65,21
583,17
693,14
98,28
744,21
715,15
527,14
490,18
235,18
119,25
763,21
627,25
286,13
306,20
376,24
147,14
480,24
860,27
338,33
358,16
412,16
989,15
26,17
564,9
950,23
72,9
535,21
642,21
77,21
232,15
725,21
131,24
37,27
310,31
832,18
907,11
584,16
746,26
806,33
353,17
939,10
834,8
831,20
813,20
574,17
225,23
333,12
174,11
45,17
134,15
891,16
918,25
975,18
36,22
848,18
102,20
430,35
158,26
533,21
915,18
459,33
207,24
123,26
979,15
871,18
881,22
385,21
492,36
544,18
365,31
704,29
157,30
606,40
618,14
308,18
880,34
313,15
140,22
137,19
248,9
208,13
392,17
614,17
24,36
191,16
966,7
760,17
94,16
218,15
49,22
671,24
580,16
742,9
912,15
846,12
938,19
87,24
184,20
753,29
477,12
550,12
394,15
272,26
781,16
867,23
190,14
858,19
554,8
424,14
406,25
670,27
309,23
849,15
509,20
919,19
156,31
932,17
475,15
641,20
961,33
888,31
282,35
269,26
733,22
261,10
502,14
117,23
40,16
125,23
257,28
700,10
43,12
587,19
187,28
349,20
914,23
766,23
728,20
506,10
242,16
331,13
599,33
913,18
677,13
29,21
4,26
698,23
96,10
466,10
201,23
844,14
980,9
631,22
107,14
6,16
446,16
749,9
86,23
920,11
219,9
363,16
66,29
231,17
661,21
512,23
340,36
873,27
523,17
356,15
414,19
458,34
640,29
368,34
735,23
538,20
166,28
595,20
142,17
924,31
410,7
872,18
792,19
896,25
651,21
381,11
38,16
359,20
597,28
193,10
548,9
730,13
217,11
709,10
47,28
886,15
177,23
727,22
985,22
810,28
779,17
110,30
145,19
931,17
557,18
718,20
485,21
623,17
229,20
559,7
304,17
788,12
52,22
633,13
341,39
450,25
900,12
405,26
170,17
712,20
762,13
996,10
192,13
513,15
101,18
473,23
69,23
878,23
679,22
375,16
983,14
415,9
976,23
729,18
680,20
408,14
782,22
689,22
982,24
522,10
674,17
630,32
11,18
575,34
821,22
401,14
659,23
739,22
279,6
9,24
903,14
716,18
741,34
897,23
543,17
565,21
736,27
566,14
85,25
457,26
592,26
281,7
687,20
553,13
302,25
288,8
21,10
622,4
927,11
774,12
398,18
635,28
388,9
165,18
56,15
151,7
820,17
992,28
620,13
894,22
245,16
205,31
67,16
325,17
895,12
673,19
783,19
484,27
334,29
144,19
558,17
540,17
168,23
598,23
471,28
287,20
464,15
167,16
277,36
290,10
300,20
662,22
284,25
342,20
367,36
588,23
41,24
46,20
206,27
439,13
586,26
53,26
572,6
32,23
336,28
275,14
247,14
260,17
423,25
136,7
139,20
411,33
869,25
425,14
864,19
672,26
825,12
316,13
403,28
731,22
256,24
654,28
332,17
628,18
33,17
422,13
885,21
549,23
185,21
215,20
653,20
380,20
130,22
23,25
486,19
612,23
625,23
617,18
765,15
552,10
887,18
959,10
819,27
314,10
386,23
817,23
426,25
433,20
364,21
877,12
169,2
299,15
345,12
605,25
92,15
541,18
971,25
660,19
437,11
910,25
236,18
941,18
957,26
998,33
949,33
197,14
135,28
999,27
493,19
707,11
665,24
454,23
759,19
482,32
879,23
227,23
500,14
73,15
311,16
103,9
875,22
239,10
121,20
420,22
561,21
845,21
755,12
196,18
291,22
15,17
859,19
842,13
767,21
61,16
244,24
602,32
691,36
468,27
697,17
721,24
251,19
705,34
104,11
960,17
171,18
397,11
604,19
427,18
786,28
347,16
179,5
562,17
636,23
321,34
105,21
402,22
804,25
445,20
866,20
889,24
991,24
467,42
776,20
327,18
253,8
14,34
692,17
581,27
109,18
133,36
724,30
372,22
339,24
600,11
772,23
335,20
603,20
591,13
808,7
383,30
301,16
7,20
757,22
771,12
827,27
254,15
377,12
952,20
159,25
432,18
857,26
986,20
619,27
890,16
20,18
319,23
1,10
76,15
517,28
129,15
203,25
789,7
346,21
71,21
267,17
68,25
773,12
146,18
80,23
861,13
511,26
162,25
738,14
797,29
582,29
943,21
330,16
751,10
237,11
451,43
262,19
323,22
337,20
348,18
504,22
399,11
238,19
112,25
560,28
547,23
818,18
613,24
268,26
737,21
569,27
124,17
615,12
452,18
798,16
830,14
200,12
988,37
964,14
601,29
590,15
82,14
990,23
202,21
685,33
905,27
973,12
610,11
79,22
678,31
812,15
579,17
510,15
17,16
198,18
212,18
28,21
404,15
720,19
997,35
917,23
489,22
515,20
1000,26
616,19
83,22
706,29
63,13
516,13
571,9
216,25
395,22
666,11
956,35
542,18
295,20
882,30
958,16
213,21
694,21
955,13
274,20
163,29
801,27
223,16
669,13
833,29
352,11
362,9
221,29
752,29
688,24
594,17
460,13
499,15
265,26
111,5
851,18
16,7
968,29
62,14
893,20
993,18
326,24
568,20
371,28
805,17
655,24
413,16
649,10
100,20
183,21
925,15
150,18
656,27
421,12
429,13
25,21
835,27
141,25
122,14
648,33
570,22
923,38
995,26
434,20
211,18
901,22
530,26
536,18
928,20
465,11
449,30
64,17
520,26
55,20
148,20
790,21
828,4
