transaction_item_id,transaction_id,product_id,quantity,unit_price,line_total
1,1,347,2,215.05,430.1
2,1,348,2,26.36,52.72
3,2,438,4,429.8,1719.2
4,2,68,5,308.1,1540.5
5,3,134,4,122.41,489.64
6,4,23,5,388.1,1940.5
7,4,179,5,286.75,1433.75
8,4,380,5,42.57,212.85
9,5,61,2,186.05,372.1
10,5,498,5,293.84,1469.2
11,5,16,1,34.81,34.81
12,6,287,2,241.49,482.98
13,6,415,1,188.31,188.31
14,6,394,2,427.75,855.5
15,7,217,1,91.87,91.87
16,7,174,5,317.18,1585.9
17,8,243,5,183.68,918.4
18,9,305,3,381.88,1145.64
19,10,49,5,396.4,1982.0
20,10,141,4,461.99,1847.96
21,11,254,1,86.65,86.65
22,11,167,2,46.59,93.18
23,11,145,3,90.16,270.48
24,12,468,3,381.26,1143.78
25,12,262,5,271.83,1359.15
26,12,419,4,60.01,240.04
27,13,52,5,375.32,1876.6
28,13,87,2,455.33,910.66
29,14,247,5,275.67,1378.35
30,14,72,1,171.69,171.69
31,15,334,1,316.65,316.65
32,16,352,1,89.61,89.61
33,16,335,5,245.42,1227.1
34,17,131,4,266.08,1064.32
35,17,437,1,69.77,69.77
36,17,42,2,276.19,552.38
37,18,415,2,428.1,856.2
38,19,199,4,249.85,999.4
39,19,396,2,134.92,269.84
40,19,139,3,183.44,550.32
41,20,115,5,282.39,1411.95
42,20,474,2,218.94,437.88
43,20,162,2,461.77,923.54
44,21,76,4,47.71,190.84
45,21,334,2,75.09,150.18
46,22,446,2,275.05,550.1
47,22,101,2,39.74,79.48
48,22,154,2,54.04,108.08
49,23,233,3,242.36,727.08
50,24,119,2,156.19,312.38
51,24,303,1,140.08,140.08
52,25,480,3,270.89,812.67
53,25,355,2,56.36,112.72
54,26,188,3,382.04,1146.12
55,26,173,4,434.93,1739.72
56,26,251,2,460.42,920.84
57,27,16,4,154.05,616.2
58,27,411,1,432.01,432.01
59,28,229,1,263.74,263.74
60,28,93,4,98.29,393.16
61,29,283,3,61.85,185.55
62,29,265,3,35.01,105.03
63,30,181,1,19.13,19.13
64,30,340,3,212.66,637.98
65,31,12,4,411.92,1647.68
66,32,456,3,330.41,991.23
67,32,433,5,220.05,1100.25
68,33,230,2,169.66,339.32
69,33,215,2,64.46,128.92
70,34,481,3,400.87,1202.61
71,34,11,3,103.77,311.31
72,34,479,2,335.34,670.68
73,35,468,4,418.33,1673.32
74,35,216,2,338.15,676.3
75,35,463,3,402.12,1206.36
76,36,486,1,212.68,212.68
77,36,329,5,263.97,1319.85
78,36,338,1,205.98,205.98
79,37,433,3,419.62,1258.86
80,38,426,4,469.05,1876.2
81,39,234,1,343.22,343.22
82,40,228,4,88.11,352.44
83,40,49,3,124.25,372.75
84,40,271,5,357.02,1785.1
85,41,220,5,447.8,2239.0
86,42,35,4,135.02,540.08
87,42,163,4,432.68,1730.72
88,42,306,2,483.13,966.26
89,43,289,4,377.5,1510.0
90,43,445,4,185.88,743.52
91,44,11,3,345.69,1037.07
92,44,203,2,227.72,455.44
93,45,318,3,166.58,499.74
94,45,286,4,434.63,1738.52
95,45,462,3,210.08,630.24
96,46,214,2,317.89,635.78
97,46,498,2,29.98,59.96
98,46,272,1,499.6,499.6
99,47,60,4,110.36,441.44
100,48,355,3,246.53,739.59
101,49,212,4,377.68,1510.72
102,50,446,1,343.16,343.16
103,50,65,4,171.86,687.44
104,51,380,5,75.28,376.4
105,52,321,5,6.51,32.55
106,52,136,4,188.89,755.56
107,53,255,2,259.7,519.4
108,53,255,2,231.01,462.02
109,54,252,4,185.52,742.08
110,54,190,2,11.22,22.44
111,55,467,3,95.21,285.63
112,56,453,1,72.22,72.22
113,57,381,4,41.05,164.2
114,57,222,3,319.7,959.1
115,58,494,2,320.69,641.38
116,58,36,2,324.47,648.94
117,58,119,4,42.45,169.8
118,59,434,3,219.57,658.71
119,59,451,2,456.65,913.3
120,60,149,3,55.05,165.15
121,61,67,5,124.9,624.5
122,61,341,3,496.43,1489.29
123,62,470,3,286.65,859.95
124,62,73,5,367.15,1835.75
125,62,5,1,431.12,431.12
126,63,413,4,146.74,586.96
127,63,16,3,196.46,589.38
128,64,321,5,285.94,1429.7
129,64,436,4,415.24,1660.96
130,64,85,2,306.67,613.34
131,65,293,1,412.23,412.23
132,65,55,2,341.9,683.8
133,65,84,2,60.3,120.6
134,66,288,5,158.37,791.85
135,66,333,4,481.71,1926.84
136,67,114,1,305.22,305.22
137,67,210,3,144.95,434.85
138,68,80,2,188.69,377.38
139,68,247,2,284.64,569.28
140,69,112,4,323.55,1294.2
141,69,295,5,491.93,2459.65
142,70,44,5,142.87,714.35
143,70,30,5,142.14,710.7
144,71,306,4,422.75,1691.0
145,72,3,5,263.41,1317.05
146,72,452,2,334.51,669.02
147,73,66,4,440.38,1761.52
148,73,288,5,189.63,948.15
149,74,312,1,229.97,229.97
150,74,133,1,319.93,319.93
151,74,467,1,350.27,350.27
152,75,151,3,349.58,1048.74
153,75,88,5,64.92,324.6
154,75,58,2,311.51,623.02
155,76,467,1,39.01,39.01
156,77,453,4,286.57,1146.28
157,78,37,3,444.59,1333.77
158,78,348,2,224.83,449.66
159,79,197,2,31.16,62.32
160,79,65,4,206.39,825.56
161,80,382,3,375.73,1127.19
162,81,183,3,402.5,1207.5
163,81,179,1,383.06,383.06
164,81,439,1,306.09,306.09
165,82,127,1,415.76,415.76
166,82,426,1,71.04,71.04
167,83,188,4,155.45,621.8
168,83,306,3,413.22,1239.66
169,83,6,4,405.94,1623.76
170,84,247,4,467.85,1871.4
171,84,135,3,300.46,901.38
172,84,493,4,26.6,106.4
173,85,424,1,27.61,27.61
174,85,244,5,447.13,2235.65
175,86,213,4,103.72,414.88
176,86,210,4,354.66,1418.64
177,87,444,2,467.3,934.6
178,87,472,5,364.51,1822.55
179,87,420,3,336.78,1010.34
180,88,253,4,75.78,303.12
181,88,26,2,494.82,989.64
182,89,43,3,476.02,1428.06
183,89,158,5,424.96,2124.8
184,89,24,2,306.94,613.88
185,90,367,2,435.57,871.14
186,91,499,2,173.77,347.54
187,92,389,2,285.13,570.26
188,93,91,2,280.47,560.94
189,94,489,1,321.39,321.39
190,94,138,4,278.16,1112.64
191,94,23,1,492.93,492.93
192,95,271,1,431.66,431.66
193,95,463,5,76.97,384.85
194,96,268,2,423.12,846.24
195,97,159,1,126.8,126.8
196,97,76,1,150.24,150.24
197,97,183,2,387.26,774.52
198,98,433,5,214.9,1074.5
199,98,445,1,499.09,499.09
200,98,347,1,106.19,106.19
201,99,417,2,12.49,24.98
202,99,215,2,277.17,554.34
203,99,157,5,232.89,1164.45
204,100,203,5,22.55,112.75
205,100,276,2,364.19,728.38
206,101,15,5,389.51,1947.55
207,102,241,1,232.99,232.99
208,102,442,1,89.51,89.51
209,103,179,2,83.04,166.08
210,104,42,2,6.9,13.8
211,104,337,3,154.85,464.55
212,104,153,3,448.69,1346.07
213,105,32,1,367.26,367.26
214,106,115,3,335.97,1007.91
215,106,133,2,474.32,948.64
216,106,62,4,23.87,95.48
217,107,127,3,373.01,1119.03
218,107,283,4,257.55,1030.2
219,107,376,5,186.4,932.0
220,108,180,5,120.99,604.95
221,108,288,3,181.9,545.7
222,108,475,2,80.37,160.74
223,109,87,4,477.08,1908.32
224,110,428,5,201.89,1009.45
225,110,226,4,33.04,132.16
226,111,95,4,154.94,619.76
227,111,405,1,253.85,253.85
228,112,300,1,382.7,382.7
229,112,57,4,116.52,466.08
230,113,124,5,184.78,923.9
231,114,127,1,266.5,266.5
232,114,404,1,137.24,137.24
233,114,63,5,447.12,2235.6
234,115,45,4,61.49,245.96
235,115,19,5,256.77,1283.85
236,116,18,2,223.71,447.42
237,117,216,5,131.61,658.05
238,117,156,1,384.8,384.8
239,118,223,5,387.63,1938.15
240,118,56,2,135.11,270.22
241,119,65,5,171.35,856.75
242,120,184,2,453.53,907.06
243,121,381,5,243.73,1218.65
244,121,463,1,371.29,371.29
245,122,492,1,495.41,495.41
246,122,490,4,319.34,1277.36
247,122,162,4,300.0,1200.0
248,123,223,3,179.65,538.95
249,124,395,4,131.85,527.4
250,124,17,2,242.6,485.2
251,125,237,1,245.99,245.99
252,126,331,1,459.0,459.0
253,126,279,4,181.8,727.2
254,127,435,4,413.14,1652.56
255,127,26,3,76.11,228.33
256,128,53,4,198.62,794.48
257,129,249,1,439.43,439.43
258,129,46,5,468.64,2343.2
259,130,90,1,468.64,468.64
260,131,391,1,440.3,440.3
261,131,336,1,143.45,143.45
262,131,328,2,404.16,808.32
263,132,14,5,269.99,1349.95
264,133,395,5,62.24,311.2
265,133,336,4,275.14,1100.56
266,134,390,2,231.9,463.8
267,135,335,1,224.77,224.77
268,135,119,4,141.92,567.68
269,136,459,1,177.05,177.05
270,137,378,4,297.25,1189.0
271,137,141,4,349.64,1398.56
272,137,358,4,259.02,1036.08
273,138,397,5,310.76,1553.8
274,138,14,1,459.5,459.5
275,139,197,1,397.5,397.5
276,139,271,3,406.46,1219.38
277,140,77,3,439.73,1319.19
278,141,417,4,45.82,183.28
279,141,37,3,73.74,221.22
280,142,12,5,267.9,1339.5
281,142,446,4,468.0,1872.0
282,142,331,3,185.33,555.99
283,143,22,2,481.66,963.32
284,143,360,3,173.97,521.91
285,144,299,2,246.22,492.44
286,144,231,4,433.7,1734.8
287,145,423,2,458.87,917.74
288,146,108,2,19.36,38.72
289,146,345,4,99.43,397.72
290,146,167,2,218.23,436.46
291,147,358,2,193.93,387.86
292,147,477,4,386.85,1547.4
293,147,259,4,412.98,1651.92
294,148,458,4,388.62,1554.48
295,148,349,5,420.06,2100.3
296,149,393,4,106.91,427.64
297,150,43,2,411.57,823.14
298,150,432,3,363.5,1090.5
299,151,280,1,101.04,101.04
300,151,373,5,133.87,669.35
301,151,159,1,50.81,50.81
302,152,67,5,152.64,763.2
303,152,494,3,133.01,399.03
304,152,421,5,169.39,846.95
305,153,441,3,411.34,1234.02
306,154,62,2,439.43,878.86
307,154,307,1,22.23,22.23
308,154,200,3,211.95,635.85
309,155,432,5,344.05,1720.25
310,155,24,2,121.52,243.04
311,155,237,4,275.76,1103.04
312,156,232,1,204.32,204.32
313,156,420,4,376.94,1507.76
314,157,78,3,343.49,1030.47
315,158,481,1,178.43,178.43
316,159,486,1,397.32,397.32
317,160,408,4,262.73,1050.92
318,160,317,5,11.15,55.75
319,161,310,2,465.85,931.7
320,161,187,1,233.79,233.79
321,161,194,2,425.16,850.32
322,162,40,1,449.14,449.14
323,162,405,1,13.97,13.97
324,162,340,5,440.03,2200.15
325,163,188,4,442.51,1770.04
326,163,141,2,51.77,103.54
327,164,84,4,271.13,1084.52
328,165,217,2,106.41,212.82
329,165,51,3,52.75,158.25
330,165,264,4,309.02,1236.08
331,166,302,1,432.75,432.75
332,166,422,5,13.1,65.5
333,166,21,3,394.12,1182.36
334,167,183,3,119.5,358.5
335,168,484,3,411.85,1235.55
336,169,450,2,368.54,737.08
337,169,68,2,264.06,528.12
338,169,74,3,25.98,77.94
339,170,230,4,67.96,271.84
340,170,18,2,404.64,809.28
341,171,29,1,280.27,280.27
342,171,88,4,211.55,846.2
343,172,254,4,106.06,424.24
344,172,203,1,31.18,31.18
345,173,308,3,403.88,1211.64
346,173,14,4,223.65,894.6
347,173,457,1,324.63,324.63
348,174,82,1,174.42,174.42
349,175,278,5,85.23,426.15
350,176,300,2,255.32,510.64
351,177,418,4,336.52,1346.08
352,177,492,2,498.39,996.78
353,177,367,1,444.28,444.28
354,178,315,2,266.03,532.06
355,179,109,4,160.38,641.52
356,179,437,3,318.49,955.47
357,180,385,2,177.55,355.1
358,181,191,5,489.21,2446.05
359,181,449,2,478.97,957.94
360,181,245,1,204.66,204.66
361,182,172,3,370.58,1111.74
362,182,130,2,297.64,595.28
363,182,87,2,5.08,10.16
364,183,116,4,32.09,128.36
365,183,47,5,485.31,2426.55
366,183,214,2,156.43,312.86
367,184,407,4,381.5,1526.0
368,185,165,1,445.12,445.12
369,185,352,2,138.71,277.42
370,186,213,3,409.46,1228.38
371,187,129,1,496.29,496.29
372,187,10,4,268.17,1072.68
373,188,220,2,16.99,33.98
374,189,54,2,317.49,634.98
375,189,414,5,88.6,443.0
376,189,160,3,234.96,704.88
377,190,404,4,212.31,849.24
378,190,163,5,42.01,210.05
379,191,14,3,233.89,701.67
380,191,111,5,377.14,1885.7
381,191,147,5,459.01,2295.05
382,192,19,3,325.23,975.69
383,192,422,3,454.17,1362.51
384,192,89,3,41.77,125.31
385,193,441,1,38.32,38.32
