transaction_id,customer_id,transaction_date,payment_method
1,557,2025-10-07,Net Banking
2,368,2025-11-21,UPI
3,166,2025-09-03,Net Banking
4,448,2025-04-14,Debit Card
5,496,2025-11-21,Cash
6,803,2025-06-25,Net Banking
7,190,2025-11-10,Debit Card
8,540,2025-09-05,Cash
9,898,2025-09-17,Net Banking
10,961,2025-10-16,UPI
11,733,2025-12-08,Debit Card
12,140,2025-06-03,Debit Card
13,851,2025-11-29,UPI
14,864,2025-10-29,UPI
15,522,2025-08-14,Credit Card
16,860,2025-07-23,Net Banking
17,917,2025-03-07,Cash
18,622,2025-03-01,Debit Card
19,612,2025-09-20,Credit Card
20,888,2025-04-21,Credit Card
21,306,2025-02-09,Net Banking
22,699,2025-01-01,Credit Card
23,578,2025-09-29,Credit Card
24,135,2025-04-22,UPI
25,894,2025-08-04,Cash
26,928,2025-03-01,UPI
27,739,2025-02-05,UPI
28,986,2025-06-10,Credit Card
29,987,2025-06-15,UPI
30,633,2025-05-15,UPI
31,953,2025-01-10,UPI
32,449,2025-10-19,Cash
33,705,2025-09-21,UPI
34,872,2025-08-31,Debit Card
35,732,2025-10-18,Net Banking
36,357,2025-10-13,UPI
37,732,2025-06-17,Debit Card
38,543,2025-04-15,Debit Card
39,197,2025-04-18,UPI
40,13,2025-02-12,Cash
41,974,2025-06-14,Net Banking
42,721,2025-06-22,Credit Card
43,306,2024-12-30,Cash
44,646,2025-12-03,Debit Card
45,947,2025-03-12,Debit Card
46,176,2025-11-18,UPI
47,918,2025-07-27,Net Banking
48,401,2025-02-28,Cash
49,389,2025-02-15,Net Banking
50,476,2025-01-22,Cash
51,57,2025-02-26,Cash
52,23,2025-05-11,UPI
53,919,2025-11-26,Cash
54,209,2025-02-24,Net Banking
55,961,2025-07-29,Debit Card
56,402,2025-04-05,Credit Card
57,720,2025-04-07,UPI
58,483,2025-04-12,Cash
59,353,2025-03-30,Cash
60,569,2025-09-26,UPI
61,326,2025-10-14,UPI
62,344,2025-02-15,UPI
63,136,2025-03-02,Cash
64,658,2025-08-07,Credit Card
65,743,2025-12-02,Credit Card
66,627,2025-05-18,UPI
67,439,2025-12-03,Debit Card
68,306,2025-08-06,Debit Card
69,888,2025-05-12,Debit Card
70,930,2025-03-08,UPI
71,704,2025-11-30,Cash
72,996,2025-10-01,UPI
73,247,2025-08-28,Cash
74,277,2025-10-19,Credit Card
75,925,2025-01-17,Credit Card
76,606,2025-03-07,Credit Card
77,924,2025-04-30,Credit Card
78,103,2025-03-29,Cash
79,884,2025-05-18,Cash
80,567,2025-08-29,Net Banking
81,530,2025-04-06,Debit Card
82,309,2025-08-01,Cash
83,908,2025-09-26,Cash
84,117,2025-04-19,UPI
85,958,2025-05-03,Cash
86,364,2025-08-11,Cash
87,68,2025-07-14,UPI
88,276,2025-10-31,Credit Card
89,778,2025-11-26,Credit Card
90,831,2025-05-02,UPI
91,358,2025-11-14,UPI
92,782,2025-11-25,Net Banking
93,781,2025-03-31,UPI
94,427,2025-12-15,Net Banking
95,899,2025-05-17,Credit Card
96,948,2025-08-22,Credit Card
97,576,2025-12-22,Net Banking
98,81,2025-11-03,Debit Card
99,602,2025-11-05,Cash
100,968,2025-01-28,Credit Card
101,479,2025-02-06,Debit Card
102,189,2025-12-12,Debit Card
103,816,2025-02-12,Cash
104,396,2025-11-10,Credit Card
105,285,2025-05-13,UPI
106,194,2025-11-03,Net Banking
107,801,2025-05-17,Credit Card
108,518,2025-11-28,Credit Card
109,776,2025-01-01,Net Banking
110,132,2025-12-20,Cash
111,348,2025-10-02,Debit Card
112,434,2025-03-08,Cash
113,497,2025-09-23,UPI
114,797,2025-12-07,Net Banking
115,567,2025-07-12,Net Banking
116,380,2025-01-22,Debit Card
117,826,2025-08-09,UPI
118,902,2025-04-22,Debit Card
119,619,2025-09-21,Debit Card
120,576,2025-12-13,Credit Card
121,310,2025-02-12,Debit Card
122,291,2025-11-07,Credit Card
123,387,2025-04-04,Cash
124,767,2025-06-17,Cash
125,926,2025-09-13,UPI
126,885,2025-08-10,Debit Card
127,454,2025-04-13,Credit Card
128,32,2025-04-20,Credit Card
129,714,2025-10-27,Debit Card
130,822,2025-01-20,Net Banking
131,431,2025-04-11,Net Banking
132,41,2025-01-27,Debit Card
133,67,2025-02-21,Net Banking
134,98,2025-11-18,Debit Card
135,657,2025-02-09,Credit Card
136,898,2025-08-29,Net Banking
137,370,2025-06-27,UPI
138,92,2025-04-07,Cash
139,947,2025-01-27,Credit Card
140,558,2025-06-15,Cash
141,591,2025-05-24,Credit Card
142,369,2025-03-01,Credit Card
143,774,2025-10-15,Net Banking
144,982,2025-08-01,Cash
145,597,2025-08-19,Cash
146,742,2025-01-25,Credit Card
147,110,2025-11-08,Net Banking
148,98,2025-02-21,UPI
149,6,2025-09-18,UPI
150,542,2025-11-22,Cash
151,340,2025-03-04,Net Banking
152,795,2025-05-18,Net Banking
153,526,2025-11-27,Net Banking
154,540,2025-12-15,Net Banking
155,546,2025-12-07,Net Banking
156,625,2025-12-24,Cash
157,638,2025-08-27,Net Banking
158,993,2025-12-23,Debit Card
159,393,2025-12-23,UPI
160,759,2025-02-14,Debit Card
161,744,2025-04-25,Debit Card
162,997,2025-02-21,Cash
163,977,2025-01-28,Cash
164,685,2025-01-28,Net Banking
165,921,2025-02-26,Net Banking
166,646,2025-11-18,Cash
167,232,2025-10-17,Debit Card
168,310,2025-02-19,Credit Card
169,360,2025-02-25,Debit Card
170,105,2025-01-07,Debit Card
171,355,2025-04-14,Credit Card
172,763,2025-03-13,Cash
173,15,2025-11-18,Debit Card
174,407,2025-10-24,Debit Card
175,31,2025-12-01,Credit Card
176,315,2025-05-05,Debit Card
177,1000,2025-04-16,Cash
178,456,2025-10-31,Debit Card
179,609,2025-04-19,Debit Card
180,730,2025-02-04,UPI
181,673,2025-08-11,Net Banking
182,24,2025-08-03,Debit Card
183,228,2025-12-25,Cash
184,331,2025-03-21,Credit Card
185,640,2025-01-20,Cash
186,184,2025-05-21,Net Banking
187,926,2025-07-19,Credit Card
188,974,2025-11-06,Credit Card
189,355,2025-12-08,Cash
190,952,2025-04-12,Net Banking
191,97,2025-07-24,Net Banking
192,731,2025-04-03,UPI
193,518,2025-08-20,Net Banking
194,263,2025-11-25,UPI
195,752,2025-05-16,Cash
196,797,2025-03-06,Net Banking
197,79,2025-05-23,Net Banking
198,857,2025-04-13,Cash
199,985,2025-10-05,Net Banking
200,879,2025-07-20,Net Banking
201,952,2025-03-19,Credit Card
202,889,2025-03-04,Net Banking
203,133,2025-03-30,Credit Card
204,794,2025-07-29,Net Banking
205,984,2025-04-07,Net Banking
206,647,2025-01-26,Credit Card
207,489,2025-01-14,Credit Card
208,797,2025-01-10,Net Banking
209,93,2025-10-13,Credit Card
210,320,2025-03-17,Debit Card
211,21,2025-06-08,UPI
212,786,2025-05-20,UPI
213,779,2025-05-22,UPI
214,207,2025-03-26,Credit Card
215,862,2025-06-04,Debit Card
216,541,2025-06-07,Cash
217,59,2025-10-28,Net Banking
218,278,2025-01-11,UPI
219,534,2025-02-23,UPI
220,549,2025-03-24,Net Banking
221,52,2025-02-18,Net Banking
222,498,2025-02-19,Credit Card
223,358,2025-08-01,Cash
224,802,2025-07-31,UPI
225,843,2025-03-12,Net Banking
226,954,2025-09-04,Cash
227,6,2025-11-22,Net Banking
228,10,2025-07-27,Net Banking
229,341,2025-01-08,Cash
230,773,2025-01-28,Net Banking
231,127,2025-05-22,Credit Card
232,47,2025-06-29,UPI
