transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,total_amount
1,2025-10-07,557,347,2,138.42,276.84
1,2025-10-07,557,348,2,231.55,463.10
2,2025-11-21,368,438,4,161.16,644.64
2,2025-11-21,368,68,5,57.36,286.80
3,2025-09-03,166,134,4,284.82,1139.28
4,2025-04-14,448,23,5,412.11,2060.55
4,2025-04-14,448,179,5,153.54,767.70
4,2025-04-14,448,380,5,276.01,1380.05
5,2025-11-21,496,61,2,351.5,703.0
5,2025-11-21,496,498,5,374.05,1870.25
5,2025-11-21,496,16,1,241.42,241.42
6,2025-06-25,803,287,2,291.36,582.72
6,2025-06-25,803,415,1,477.17,477.17
6,2025-06-25,803,394,2,348.1,696.2
7,2025-11-10,190,217,1,110.51,110.51
7,2025-11-10,190,174,5,314.06,1570.30
8,2025-09-05,540,243,5,457.3,2286.5
9,2025-09-17,898,305,3,70.29,210.87
10,2025-10-16,961,49,5,243.73,1218.65
10,2025-10-16,961,141,4,448.09,1792.36
11,2025-12-08,733,254,1,463.64,463.64
11,2025-12-08,733,167,2,224.17,448.34
11,2025-12-08,733,145,3,20.33,60.99
12,2025-06-03,140,468,3,253.58,760.74
12,2025-06-03,140,262,5,92.87,464.35
12,2025-06-03,140,419,4,54.3,217.2
13,2025-11-29,851,52,5,420.33,2101.65
13,2025-11-29,851,87,2,480.44,960.88
14,2025-10-29,864,247,5,154.79,773.95
14,2025-10-29,864,72,1,409.92,409.92
15,2025-08-14,522,334,1,134.61,134.61
16,2025-07-23,860,352,1,164.03,164.03
16,2025-07-23,860,335,5,42.9,214.5
17,2025-03-07,917,131,4,398.64,1594.56
17,2025-03-07,917,437,1,297.45,297.45
17,2025-03-07,917,42,2,39.02,78.04
18,2025-03-01,622,415,2,477.17,954.34
19,2025-09-20,612,199,4,286.28,1145.12
19,2025-09-20,612,396,2,56.06,112.12
19,2025-09-20,612,139,3,339.12,1017.36
20,2025-04-21,888,115,5,365.14,1825.70
20,2025-04-21,888,474,2,33.57,67.14
20,2025-04-21,888,162,2,147.2,294.4
21,2025-02-09,306,76,4,445.17,1780.68
21,2025-02-09,306,334,2,134.61,269.22
22,2025-01-01,699,446,2,60.56,121.12
22,2025-01-01,699,101,2,35.41,70.82
22,2025-01-01,699,154,2,434.3,868.6
23,2025-09-29,578,233,3,230.37,691.11
24,2025-04-22,135,119,2,244.81,489.62
24,2025-04-22,135,303,1,489.27,489.27
25,2025-08-04,894,480,3,172.26,516.78
25,2025-08-04,894,355,2,208.41,416.82
26,2025-03-01,928,188,3,443.19,1329.57
26,2025-03-01,928,173,4,461.96,1847.84
26,2025-03-01,928,251,2,152.34,304.68
27,2025-02-05,739,16,4,241.42,965.68
27,2025-02-05,739,411,1,147.7,147.7
28,2025-06-10,986,229,1,296.73,296.73
28,2025-06-10,986,93,4,101.41,405.64
29,2025-06-15,987,283,3,384.65,1153.95
29,2025-06-15,987,265,3,86.31,258.93
30,2025-05-15,633,181,1,284.33,284.33
30,2025-05-15,633,340,3,46.68,140.04
31,2025-01-10,953,12,4,100.62,402.48
32,2025-10-19,449,456,3,452.55,1357.65
32,2025-10-19,449,433,5,389.95,1949.75
33,2025-09-21,705,230,2,476.52,953.04
33,2025-09-21,705,215,2,33.6,67.2
34,2025-08-31,872,481,3,163.42,490.26
34,2025-08-31,872,11,3,149.99,449.97
34,2025-08-31,872,479,2,301.68,603.36
35,2025-10-18,732,468,4,253.58,1014.32
